,VDOT,1K,1M,3K,5K,8K,10K,10M,Half,Full
245,54.5,03:12,05:24,10:41,18:30,30:21,38:23,1:03:36,1:24:56,2:57:16
246,54.6,03:12,05:23,10:40,18:29,30:18,38:19,1:03:30,1:24:47,2:57:00
247,54.7,03:12,05:22,10:40,18:27,30:15,38:16,1:03:23,1:24:40,2:56:43
248,54.8,03:11,05:22,10:39,18:25,30:13,38:12,1:03:17,1:24:31,2:56:27
249,54.9,03:11,05:21,10:37,18:23,30:10,38:08,1:03:12,1:24:24,2:56:10
250,55.0,03:10,05:20,10:37,18:22,30:07,38:05,1:03:06,1:24:16,2:55:54
251,55.1,03:10,05:20,10:35,18:20,30:04,38:01,1:03:00,1:24:07,2:55:38
252,55.2,03:10,05:20,10:34,18:18,30:01,37:58,1:02:53,1:24:00,2:55:22
253,55.3,03:10,05:19,10:34,18:16,29:58,37:55,1:02:47,1:23:52,2:55:05
254,55.4,03:09,05:19,10:33,18:15,29:56,37:51,1:02:42,1:23:44,2:54:50
255,55.5,03:09,05:18,10:31,18:13,29:53,37:47,1:02:36,1:23:36,2:54:34
256,55.6,03:08,05:17,10:30,18:11,29:51,37:44,1:02:30,1:23:28,2:54:18
257,55.7,03:08,05:17,10:30,18:10,29:48,37:40,1:02:24,1:23:20,2:54:02
258,55.8,03:08,05:17,10:28,18:08,29:45,37:37,1:02:18,1:23:13,2:53:46
259,55.9,03:08,05:16,10:27,18:07,29:42,37:34,1:02:13,1:23:05,2:53:30
260,56.0,03:07,05:16,10:26,18:05,29:39,37:30,1:02:07,1:22:57,2:53:15
261,56.1,03:07,05:15,10:25,18:03,29:37,37:27,1:02:01,1:22:49,2:52:58
262,56.2,03:07,05:15,10:25,18:01,29:34,37:23,1:01:55,1:22:42,2:52:43
263,56.3,03:07,05:14,10:24,18:00,29:31,37:20,1:01:49,1:22:34,2:52:27
264,56.4,03:07,05:14,10:22,17:58,29:29,37:16,1:01:44,1:22:27,2:52:11
265,56.5,03:06,05:13,10:22,17:56,29:26,37:13,1:01:38,1:22:19,2:51:56
266,56.6,03:06,05:13,10:20,17:55,29:23,37:10,1:01:32,1:22:12,2:51:40
267,56.7,03:06,05:12,10:19,17:53,29:21,37:06,1:01:27,1:22:04,2:51:25
268,56.8,03:06,05:12,10:19,17:52,29:18,37:03,1:01:21,1:21:57,2:51:10
269,56.9,03:05,05:12,10:18,17:50,29:15,37:00,1:01:16,1:21:49,2:50:55
270,57.0,03:05,05:11,10:17,17:49,29:13,36:57,1:01:10,1:21:42,2:50:39
271,57.1,03:04,05:10,10:16,17:47,29:10,36:53,1:01:05,1:21:34,2:50:24
272,57.2,03:04,05:10,10:15,17:45,29:07,36:50,1:00:59,1:21:27,2:50:09
273,57.3,03:04,05:09,10:14,17:44,29:05,36:46,1:00:53,1:21:19,2:49:54
274,57.4,03:04,05:09,10:13,17:42,29:03,36:43,1:00:48,1:21:12,2:49:39
